id,name,orig_name,straight_position,inverted_position
0,Шут,The Fool,"Прямое положение
Шут – это человек, начинающий новое движение и вступающий на жизненный путь, который ему пока неизвестен. Это юный, любопытный, открытый, бесшабашный человек, которому чуждо чувство опасности и осторожности.

Шут бросается в омут жизни, не зная о ней ничего, не думая о житейских проблемах и опасностях, которые его могут подстерегать на пути. Он ищет перемен и постоянно экспериментирует с реальностью.

Шут энергичен, оптимистичен, ощущает силу и радость, ведь его впереди ожидает столько интересных и увлекательных приключений. Возможно, ему предстоят неожиданности и незапланированные события, но это не страшит Шута.

Карта в прямом положении символизирует необходимость принятия спонтанных решений. Если она вытягивается для характеристики определенного человека, то, скорее всего, он не хочет, чтобы о нем знали слишком много.","Перевернутое положение
Карта Шут в перевернутом положении свидетельствует о глупости, граничащей с безумием, эксцентричности и неосторожности человека. В жизни происходит что-то неожиданное, и Шут сталкивается с событиями, которыми невозможно управлять.

Этот человек зачастую тратит много энергии и времени впустую, а все потому, что ему чужда способность рационально управлять своими ресурсами. Вместо того, чтобы сделать над собой волевое усилие и переломить ход ситуации в свою пользу, он демонстрирует лень, апатию и уход от жизни с реальными проблемами.

Перевернутый Шут указывает на человека, который начинает сразу несколько дел но не доводит их до конца. Вместо того, чтобы решать конкретные проблемы с окружающими, он предпочитает менять обстановку и уходить тем самым от раздражающих его факторов."
1,Маг,The Magician,"Маг – положительная карта, которая обладает насыщенной энергией, и она апеллирует человека к столь же активным, инициативным и создающим действиям. Маг убеждает, что у человека есть право и возможность распоряжаться кем-либо, подчинять своей воле.

И эта способность ему дана в настоящий момент, он уже может руководить, вести дела, контролировать свое окружение и сконцентрироваться на происходящем. Когда власть в твоих руках, можно перейти на качественный уровень бытия, утереть нос самому себе, овладеть новыми сферами жизни, добиться высоких результатов в разных областях.


Маг является первой картой семерицы, поэтому представлена, как начало нового жизненного этапа. Это тот период, когда человек еще ничего не решил и пока не сделал никаких ошибок.

Карата Мага говорит о том, что в настоящее время стоит ожидать успеха. Для этого будет все – и максимальная безопасность, и благоприятные условия. Маг дает понять, что появилась отличная возможность – сделать задуманное реальным. Человек сам поймет, в какой деятельности он сможет проявить свои активные действия, и возьмет инициативу в руки.","В перевернутом видекарта Маг означает, что человеку свойственно проявлять свою хитрость, он бывает весьма меркантильным и злоупотребляет своей властью. В такой момент он использует любые средства, чтобы достичь желаемого результата.

В перевернутом положении Мага стоит опасаться отсутствия нравственных замыслов, даже не стоит говорить о морали и этике. Как правило, карта Мага в перевернутом положении выпадает людям с эгоистичным характером. Эти люди ловкие и совершенно беспринципные. Они убеждены, что моральная и нравственная культуры уже давно устарели и изжили себя. И если человек решил стать успешным, то ему не стоит следовать этим нелепым принципам.

Также перевернутый Маг может говорить о том, что человек не уверен в собственных силах, у него занижена самооценка. В таком случае, карта свидетельствует о хроническом неудачнике, которого подстерегают проблемы и неудачи, и он не может выбраться из этого замкнутого круга.Также может речь идти о неоднозначной ситуации, в которой разобраться в настоящий момент – невозможно."
2,Жрица,The High Priestess,"Карта сообщает о том, что совсем скоро появится информация, благодаря которой человек посмотрит на свою жизнь другими глазами. Карта Верховная жрица показывает спокойствие, когда человек уходит в себя. Ему хочется побыть в спокойной обстановке, но не для того, чтобы разобраться со своими делами, а для того, чтобы просто побыть некоторое время в тишине. Решение вопросов, разумеется, придет само собой, но попозже.

Человек, которому выпадает эта карта, как правило, развивает свои таланты и индивидуальное познание. Желаемого добивается через духовную мудрость и терпение. Бывает весьма настойчивым и сообразительным. Здравый смысл – это про Верховную жрицу.

Человек становится более уверенным в себе, у него появляется интуиция, понимание, глубокое сознание. И даже те знания, которые ему давно известны, могут помочь в решении появившихся проблем.","В перевернутом виде карта Верховная жрица показывает отсутствие разума и проблемы, которые неожиданно возникают. У человека появляется полоса неудачи, его мечты и желания неосуществимы. Как следствие, это приводит к подавленному настроению.

Знания гадающего очень поверхностны. Карта Верховная жрица предупреждает о том, что необходимо исключить все необдуманные действия и меньше проявлять свои эмоции.
Просто человек может наделать много глупостей, в чем-то проявить свое невежество и манию величия. И действительно, ему свойственно быть эмоционально неуравновешенным под влиянием карты в перевернутом виде. Его суждения неверные, мышление затуманенное. Ему и самому становится боязно - принимать решение.А ведь тщеславия и самоуверенности стоит остерегаться."
3,Императрица,The Empress,"Аркан говорит о жизненной силе, плодородии, росте и зарождению нового. Человеку, которому выпала эта карта, стоит положиться на судьбу. Пусть все события идут своим ходом, главное, спокойно воспринимать происходящее.

Все дела идут к развязке, а значит, совсем скоро человек узнает, какая ожидает его судьба. Возможно, просто на его пути встретится такой человек, который сыграет не последнюю роль в его жизни, станет покровителем. В некоторых случаях карта может обозначать – скорое бракосочетание или зачатие ребенка.

Карта Императрица – это хорошая карта. Есть все основания радоваться, когда она выпадает при гадании. У человека появляется удовлетворенность от происходящих событий, которые довольно быстро развиваются.
У Императрицы невероятная энергетика, а значит, все дела, которые просто лежали мертвым грузом, вдруг неожиданно проснутся, и дадут новые сильные побеги. Под покровительством этой карты все дела будут успешными.","Карта говорит об отсутствии удачи и профессионального роста. А это, как правило, много проблем и негативные эмоции. Естественно, плохое настроение и неудачи в делах, могут очень плохо сказаться на человеке.

Также ему будут препятствовать по жизни его негативные качества, он проявит свой эгоизм, жадность, ревность. Скорее всего, это будет связано с любимым человеком, на которого он обижен, считая, что от него только одни неприятности. Также карта характеризует материальные трудности и разлад в семейных отношениях.

Человек, которому выпала эта карта, хитрая и властная личность. Он находится в таком состоянии, когда не в силах решать свои проблемы или строить какие-либо планы. У него появляется упадок творческих сил, и он бездействует. Ему очень сложно избежать ссор и конфликтов, даже возможны заболевания.

Карта Императрица несет негативный посыл. Также могут возникнуть трудности, связанные с беременностью. Либо это будет связано с бесплодием, либо с нежелательной беременностью."
4,Император,The Emperor,"Карта в этом положении выпадает людям практическим, целеустремленным и надежным. Они отличаются настойчивостью, здравым рационализмом, умением доводить дело до конца, отстаивать свою точку зрения и интересы. Это прирожденные лидеры.

Император говорит также о том, что предполагаемое дело надо делать именно сейчас, не откладывая, а все проблемы разрешать также без задержек. Император подсказывает, что помощь в этом окажут дисциплинированность, ответственность и рассудочность в решениях.

Также карта намекает на необходимость решительных действий ради защиты своих интересов, но эти действия должны соответствовать требованиям закона и морали и не противоречить велениям совести.

Если Император выпадает женщине, это может говорить о наличии у нее сильного покровителя-мужчины, или что она испытывает сильное (положительное) влияние мужчины более старшего возраста.
Аркан нередко намекает на необходимость определенных усилий (в том числе довольно значительных) для создания и поддержания положения, которое человек сочтет достойным себя.","Перевернутый Император превращает достоинства в недостатки, доводя их до крайности. Практичность превращается в приземленный вещизм и жадность, а здоровая рациональность – в придирчивое внимание к малозначительным мелочам. Нередко карта в таком положении выпадает людям, у которых гипертрофирована жажда власти, реальным, а также предполагаемым тиранам и деспотам.

Перевернутый Император также может означать человека аморального, причем такого, что знает о своих недостатках, но принципиально не желает с ними бороться.

Аркан может предупреждать об общем застое в делах и развитии личности, причем в результате сознательного отказа от роста."
5,Верховный жрец,The Hierophant,"Верховный жрецв прямом положении говорит о том, что человек обладает качествами лидера, либо у него очень высокая степень развития, и он может давать мудрые советы. Это тот, кто готов получать знания от высших сил, либо самому учить кого-то. Это справедливый и строгий человек, духовный учитель, лидер какой-либо группы или организации, он твердо верит в традиции и морали, соблюдает все социальные правила.

Иногда карта может обозначать совесть, родителей, семью в целом, либо же может показывать на целителей и психологов, всё, что связано с законом и с системой ценностей.
Это человек, который серьезно думает о намерении вступить в брак, либо он принимают участие в какой-либо религиозной службе.Верховный Жрец расскажет о посещении консультанта, адвоката, врача, воспитателя. В вашей жизни появится тот, кто даст вам необходимый совет либо окажет помощь.

Верховный Жрец предрекает духовное совершенство либо выполнение каких-то определенных задач, часто говорит о том, что у человека присутствует какая-либо внутренняя сила, и он способен на многое. Это милосердный и искренний человек, который способен на большое чувство или на дружбу. Из таких людей получаются самые лучшие врачи.","Перевёрнутая карта свидетельствует, что проблему, о которой идёт речь, не решить стандартными способами, и вам придется применять что-то не очень смелое, оригинальное. С другой стороны Жрец означает упрямство, нежелание видеть дальше границ своего понимания. Деломожет быть испорчено плохими советами или мстительностью.

Иногда карта говорит о том, что человек рядом с вами скрывается под какой-либо маской, притворяется. Если говорить про религию, то это может быть фанатизм, когда увлечение переходит в одержимость. Если спрашивают про брачный союз, то время далеко не самое хорошее для того, чтобы жениться или выходить замуж.

Перевёрнутый Верховный Жрец объясняет - ситуация находится вне вашего контроля, и лучше всего ничего не делает, подождать. Возможно, что вы отнеслись к другому человеку с добротой, которая была чрезмерной, очень глупой, и сейчас поплатились за это. Либо вы получили информацию сомнительного содержания, которая ввела вас в заблуждение. Придётся в вашей жизни всё переосмыслить, измениться, иначе выход из положения не найдётся.

Если выпал перевернутый Верховный Жрец, значит, покровителя на данный момент не существует, либо у человека косность характера, и он не желает принимать другого мнения, кроме своего собственного. Часто означает недоговоренность, отмену каких-либо соглашений. Также олицетворяет ложь и жадность, лесть, лицемерие."
6,Влюбленные,The Lovers,"Карта свидетельствует об испытаниях, которые человеку предстоит пройти. Ему постоянно будет необходимо делать выбор между двумя альтернативами. Карта Влюбленные – это прошлое и будущее, старое и новое, прихоти и долг.

У человека в жизни произойдет внутриличностный конфликт между умом и сердцем. Ему будет сложно делать выбор, он будет находиться на распутье. Ну, даже на распутье он проявит всю свою силу духа. От его выбора будут зависеть последствия его дальнейшей жизни. Решение, которое он примет, может касаться профессиональной деятельности, путешествий, образования, домашних дел и идей.

В целом карта Влюбленные имеет позитивное значение. Несмотря на то, что человеку непросто будет делать выбор, он все-таки будет принимать правильные решения. Его поступки будут искренними и душевными. Сюда также можно отнести и страстную влюбленность. Карту Влюбленные ассоциируют с экзаменом или проверкой на прочность. А это не что иное, как решающее испытание.","Неоднозначное значение имеет карта Влюбленные в перевернутом виде. Либо это будет связано с безответной любовью, либо с сексуальной несовместимостью. Человек под воздействием этой карты совершает необдуманные действия, принимает опрометчивые решения.

В его голове больше иллюзий, чем здравого смысла. Он легко может сбиться с верного пути. Постоянно находится в смятении и замешательстве, конфликтует сам с собой и не способен выдержать испытание. Некоторые проблемы могут скрываться в его коммуникации, когда он просто не сможет установить контакт с человеком. А возможно, он даже и сам не знает, чего он хочет.

Под воздействием этой карты, человек ведет себя безответственно, он не способен принимать искренние и честные решения. Тем самым, провоцирует своими действиями себя на несчастье и провал. Его планам и целям – никогда не сбыться, они нереалистичные."
7,Колесница,The Chariot,"В жизни происходит заметный скачок вперед. Человек способен преодолевать препятствия, у него появляется уверенность в себе и собственных силах. Благодаря раскладу этой карты, человек может совершить масштабные действия, как в профессиональной деятельности, так и на личном фронте.

Все что хочется – сбывается, враги отступают, нет препятствий на пути к успеху. И даже если совсем недавно еще были трудности, то с картой Колесница нужно освободиться от прошлых проблем, и сделать первый шаг к своему успеху.

Прошлое должно остаться позади, ведь впереди человека ждет новый жизненный этап. Он будет полон сил и решимости, проявит свою смелость и откроет для себя новый мир. Колесница как бы подталкивает человека – взяться за какое-то для него новое незнакомое дело.

Как правило, эта карта выпадает тем людям, которые действительно стремятся к поиску себя, тянутся к чему-то новому, и их буквально переполняет энергия и воодушевление. Они активны и оптимистичны, и всегда стремятся добиваться своих целей.","Ничего драматичного не происходит, но все же это дурной знак. Карта говорит о поражениях и неудачах. И даже если счастье было недавно в руках, то в самый неожиданный момент Фортуна отвернется, и принесет с собой множество проблем.

Человек недооценивает ситуацию и порой переоценивает свои силы, именно поэтому все его планы внезапно рушатся. Он проявляет свой эгоизм, бывает весьма нетерпеливым и не умеет управлять делами.

Карту Колесница в перевернутом виде часто ассоциируют с человеком, который зажмуривает глаза в момент аварии на дороге. А вместо того, чтобы зажмуриваться, стоило бы все-таки попытаться вывернуть руль. Авось – и получилось бы! Человек может быть психически неуравновешенным и неуверенным в себе. На него может быть оказано чужое давление, окружающие люди явно будут оказывать неблагоприятное на него воздействие.

Возможны конфликты с законом, не исключены судебные дела. Человека ожидают провалы и потрясения, его дела будут практически срываться на ровном месте. Может быть это связано с недостатком контроля и действий."
8,Справедливость,Justice,"Изображение на этой карте – девушка, подчинившая своей воле льва. Таким образом, карта символизирует не грубую физическую силу, но нравственное превосходство. Сила говорит о полной уверенности в своей правоте, моральном превосходстве, энергии, духовной независимости, решительности.

При этом не следует воспринимать появление этой карты как намек на вмешательство или волю сил высших. Природа ее земная, карта символизирует ту силу, что может быть воспринята через чутье или интуицию. Может подразумеваться сила воли или энергия творчества.

Сила отрицает примитивное сдерживание своих «черных сторон», призывая расправиться с ними раз и навсегда при помощи высоких моральных устремлений. Она может указывать и на необходимость от чего-то отказаться ради того, чтобы обрести нечто лучшее.","Карта в перевернутом положении свидетельствует о чрезмерном применении силы (причем грубой), агрессии, упрямой напористости. Он указывает на человека, в реалии слабого, не способного добиться гармонии в собственной душе, неспособного сдерживать проявления своих низменных инстинктов.

Иногда перевернутая Сила говорит о том, что в судьбу человека нежелательным образом вмешивается некая третья сторона, а он не желает или не способен этому противостоять, хотя такое вмешательство разрушает все его планы. Может быть и наоборот – сам гадающий не может достичь цели потому, что слишком активно лезет в дела других, очень уж хочет, чтобы все непременно было сделано по его критериям."
9,Отшельник,The Hermit,"Обычно эта карта выпадает интровертам, не склонным поддаваться влиянию внешних обстоятельств, чувствующим себя уютнее в состоянии замкнутости. Отшельник символизирует единство земного и небесного, поиск жизненного пути и цели. Во многих случаях он может намекать на успех таких поисков, на тот факт, что человек найдет на этом пути учителя и наставника.

Также появление Отшельника может свидетельствовать о том, что человек имеет твердую идейную позицию в жизни, выверенную систему ценностей и умеет держать слово как перед другими людьми, так и перед самим собой. Карта может указывать на наличие в характере таких черт, как осмотрительность и осторожность, умение взвешивать свои решения.

Аркан нередко указывает на необходимость уединения – возможность разобраться в себе приведет к улучшению жизненной ситуации в ближайшем будущем.","В таком положении карта символизирует явление, называемое психологами эскейпизмом – трусливое бегство от реальности, сознательный отказ от подлинной полноты жизни. Перевернутый Отшельник указывает на человека несостоявшегося, не сумевшего найти собственное место в жизни.

Также такая карта может говорить о том, что человеку свойственно пустое упрямство, нежелание корректировать свое поведение в зависимости от обстоятельств. Вероятно также, что такому человеку свойственны чрезмерная скрытность, он склонен обманывать окружающих или следует извращенным идеалам.

Есть и положительная сторона – перевернутый Отшельник может говорить о том, что человек попал под влияние личности неординарной, во всем его превосходящей, и это на благо. Также карта иногда говорит о том, что поставленная цель уже достигнута."
