id,name,orig_name,Unicode,straight_position,inverted_position
1,Феу,Fehu,U+16A0,"Основной ее смысл связан с приобретением чего-либо или сохранением всего того, что у человека имеется на сегодняшний день. Надо понимать, что, прежде всего, мы говорим здесь о материальной составляющей бытия. И это вполне закономерно. Но также Феу в раскладах может дать информацию, отражающую духовную сторону жизни человека со всеми его эмоциями и убеждениями.

Руна символизирует незыблемость и достижения, которые достались очень нелегко. Также она может означать, что пришло время исполнения желаний и всего, чего вы добивались. Суть послания Феу состоит в том, что на пути к мечте человек преодолел много испытаний, перенес трудности, боролся с конкурентами и завистниками, упорно и плодотворно трудился. Выпадение руны на заключительной стадии расклада правильно трактовать в таком значении, что успех связан не с везением, а с личным вкладом индивида в дело и сильными качествами его характера.","В перевернутом положении Феу свидетельствует о потерях, разочарованиях и ошибках. Они не относятся к непреодолимым и долговечным, однако их скорейшему решению необходимо уделить внимание. Если оставить все как есть и упорно отстаивать свои убеждения, то небольшая проблема может вырасти до существенных размеров. А значит, на ее решение потребуется много ваших ресурсов и собственной энергии. Здесь можно говорить как о сложностях в материальной сфере, например, денежные потери, так и о затруднениях в остальных жизненных областях, касающихся личных отношений, налаживания коммуникаций и т. д."
2,Уруз,Ūruz,U+16A2,"Эта руна ассоциируется со стихией огня, необузданной, неукротимой и мощной. Уруз означает неизбежность сильных изменений, вступление в пору половой зрелости, развитие и прогресс. Но в этом процессе отсутствует все, что считается искусственным, надуманным, чуждым замыслу Творца. В пламени Уруза должно сгореть все ненужное, неподобающее и противное природе человека.

Также здесь можно говорить об исцелении от болезней. И это естественно, ведь одно связано с другим. Недуг можно рассматривать, как что-то чужеродное, поэтому от него нужно избавиться. Уруз помогает справиться с заболеваниями, сжигает все, что мешает выздоровлению.

","Перевернутое положение этой скандинавской руны показывает какие-то упущенные благоприятные возможности. Также оно означает, что человек отступил, спасовал перед трудностями, отказался от реализации своей мечты. Впрочем, бывает, что вы решили поделиться своими обязанностями с кем-то другим. И тут нужно соблюдать определенные условия: характер той личности должен быть сильнее, тогда душа может быть спокойна, и отдающий не утратит собственное достоинство. Но в любом случае, если человек трусливо отступает и не берет ответственность на себя, пользы от этого ему не будет."
3,Турисаз,Þurisaz,U+16A6,"Даже в прямом положении данную руну не получится трактовать однозначно положительно. Итак, во-первых, это мощная защита. Однако символ может иметь значение того, что удачный период скоро завершится. О его конкретном смысле в данном раскладе нужно судить по общему настроению в гадании. Когда преобладают благоприятные знаки, скандинавскую руну Турисаз рассматривают в позитивном ключе. Если рядом негативные символы и сочетания, то она поддержит эти отрицательные моменты. Что касается других значений руны, то обычно ее трактуют как удачу, подарки судьбы (чаще неожиданные).","Выпадение перевернутой Турисаз также не сулит ничего хорошего. Здесь мало отличий от отрицательных значений в прямом положении. Это знак того, что человек упрямо будет действовать по-своему, даже получив предостережение. Вся его натура будет противиться совету, сформированному при раскладе скандинавских рун, тут уж ничего не поделать. Естественно, он может ухудшить свое положение. Еще дополнительно можно сказать, что о положительной динамике и удачном стечении обстоятельств в текущих делах скоро можно будет забыть."
4,Ансуз,Ansuz,U+16A8,"Ансуз – это скандинавская руна, непосредственно связанная с тем, как сказанные нами слова и в целом речь влияют на других. Здесь имеются два нюанса. Во-первых, если человеку выпадает такой символ, то, скорее всего, для него не составляет труда общаться с другими, заводить новые контакты, знакомиться, произносить тосты и речи на собраниях. В то же время, и это во-вторых, есть опасность того, что некоторые слова, сказанные с легкостью, могут задеть и ранить самолюбие слушателей, а бесконечная болтовня и бестактность насторожат и отпугнут людей, которые не очень любят поговорить.","Если в раскладе встречается перевернутое положение руны, то это свидетельствует о лжи, неискренности, заведомо искаженной информации. Еще один смысл состоит в том, что, возможно, какой-то человек из вашего окружения желает получить то, что должно быть вашим. Это касается не только материальных вещей, но и какого-то достижения, например, награды в соревнованиях, итогов голосования в конкурсе. Есть еще один тонкий момент: если речь идет о характеристике качеств самого гадающего, то руна свидетельствует о его упрямстве и нежелании учитывать чужой опыт."
5,Райдо,Raidō,U+16B1,"Наиболее общее значение Райдо – это путь, путешествия. В зависимости от контекста и способа гадания здесь можно говорить либо о конкретных поездках и передвижении из одного пункта в другой, либо о духовных исканиях. Символ сулит прекрасное путешествие, посещение новых интересных мест и встречу с симпатичными попутчиками, с которыми будет легко и приятно проводить время.

Если в раскладе пойдет разговор о духовном пути, то значение знака в том, что человеку трудно принять решение, он не до конца понимает, нужно ли ему это. Однако стоит преодолеть сомнения и начать движение по дороге самопознания. В раскладе со скандинавскими рунами на деньги, если выпадает Райдо, это значит, что сейчас подходящее время завершить сделку. В некоторых случаях толкование символа может быть следующим: есть два способа решить проблему, и они известны тому, кто спрашивает, но он не может выбрать лучший вариант.","Перевернутое положение обычно трактуют как неприятности в путешествии или срыв планов. Также здесь может говориться об обычной поездке, но связанной с известием о смерти, болезни близкого человека или другим печальным событием. Самое лучшее, что может предвещать перевернутая руна Райдо, − это неожиданное путешествие вне графика и планов, на которое трудно найти финансы и энергию. Как правило, выпадение этого символа в перевернутом виде связывают с неприятностями и несчастными случаями в поездке."
6,Кеназ,Kauną,U+16B2,"Этот символ можно назвать «дружелюбным огнем». Классическая трактовка включает понятия власти, силы, энергичности, но в данном случае энергия несет положительный заряд. Сила, лишенная агрессии и напора, прибавляет позитива и уверенности в том, что полоса проблем скоро кончится, для страха и тревог совсем нет оснований. Человеку нужно поверить, что его сегодняшним трудностям придет конец. А произойдет это тем скорее, чем положительнее у него будет настрой.","В такой позиции значение скандинавской руны указывает на процесс завершения чего-либо, потери, остановку в развитии. Если выпадает данный знак, речь пойдет о том, что необходимо уже отпустить или этого человека, или какую-то ситуацию. Все попытки удержать будут бессмысленны и безрезультатны.

Но обычно для спрашивающего это неочевидно, он сопротивляется, отказывается принимать сложившиеся обстоятельства, обвиняет себя за всевозможные ошибки. Перед его затуманенным обидой и разочарованием взглядом прокручиваются сцены из прошлого. Но переиграть то, что уже произошло, не получится. Придется оставить в прошлом то дело и того человека, который ушел. Нужно двигаться дальше, извлекая выводы из случившегося. Впереди вас ждут новые события, которые окажутся более перспективными и интересными."
7,Гебо,Gebō,U+16B7,"Руна Гебо имеет только прямое положение, поэтому изменить ее позитивный смысл может лишь соседство с символами, обладающими резко негативными значениями. В классической интерпретации знак означает дары, наполняющие сердце чувством радости и счастья.

Если на момент гадания со скандинавскими рунами в жизни человека присутствует множество проблем и трудностей, то выпадение Гебо указывает на то, что скоро наступит другое время, все негативное уступит место благополучию и спокойствию.",
8,Вуньо,Wunjō,U+16B9,"Можно только порадоваться за человека, если в скандинавском раскладе ему выпадает Вуньо, так как она означает радостное позитивное состояние и провозглашает наступление белой полосы. В прямом положении эта руна указывает на то, что все неприятности позади, ваша удача уже на пороге, можно открывать двери ей навстречу.","Перевернутое положение сигнализирует о том, что возникли препятствие на пути, сбой планов и торможение, которые не представлялось возможным предугадать. В жизни это явление нередкое, когда человек абсолютно уверен в победе, а потом происходит что-то из ряда вон выходящее, и все идет насмарку. Еще более вероятно о таких неприятностях свидетельствует сочетание перевернутых рун Вуньо и Турисаз. Но ничего фатального в возникших проблемах нет. Любое препятствие преодолимо, и у задач найдутся решения. Неприятно, конечно, переживать такие неожиданные моменты, бывает трудно быстро скорректировать ситуацию, сразу поправить или внести изменения."
9,Хагалаз,Hagalaz,U+16BA,"Как видно из рисунка, данную скандинавскую руну тоже можно трактовать только в одном смысле, поскольку это симметричная фигура. Но даже в прямом положении значение Хагалаз трудно назвать позитивным. В переводе название руны – «град» – уже звучит довольно грозно, и сразу понятно, какая мощная энергия заложена в этом символе. Хагалаз принято трактовать как вестника стихийных бедствий. Также изображение этого знака указывает на появление внешних непреодолимых обстоятельств, над которыми человек не властен, и ему не остается ничего другого, как действовать по новым правилам.

Результат от такого стороннего вмешательства не всегда бывает отрицательным, то есть иногда обстоятельства пойдут во вред, а иногда принесут пользу. Традиционно руну расшифровывают так: решение проблемы гадающего зависит не от него, а от действий совершенно незнакомого человека, которого он может не знать. Например, когда поданы документы на рассмотрение чиновнику, который определяет − дать добро или отказать.

В таком раскладе символ указывает на присутствие важных бумаг, полученных из государственного учреждения или кредитной организации. Кроме того, эта скандинавская руна означает, что в конечном итоге все, что ни происходит, на самом деле к лучшему. Преграды и препятствия нужны, чтобы научиться стойкости и терпению.",
10,Наутиз,Naudiz,U+16BE,"Прямое положение руны Наутиз определяют как трудную науку жизненной дороги. Всем известно такое выражение: «Не ищите легких путей». Его смысл в том, что препятствия – это часть дороги, не стоит рассчитывать, что у вас будет иначе. Руна указывает на то, что необходимо терпеливо, спокойно, без лишней суеты и спешки двигаться к своим целям. Отсутствие здравого смысла и торопливость только усугубят проблемную ситуацию. А самый главный совет – не поддаваться страхам, не преувеличивать опасность, смотреть открытыми глазами.

В раскладе со скандинавскими рунами Наутиз связывают и с духовным, и с физическим развитием, самосовершенствованием, когда человеку приходится преодолевать собственную слабость, неуверенность, а также сопротивляться мнениям, навязанным окружением.","Перевернутое положение руны ассоциируется с неверно выбранным путем. Ситуацию довольно легко поправить, когда цель только определена, дело находится в начальной стадии. В этот период нужно остановиться, скорректировать действия, пересмотреть договоренности и т. п. Затруднения могут возникнуть, когда процесс уже давно начался, и вы где-то посередине. В таких обстоятельствах придется думать над тем, как получить хоть что-то и выйти из ситуации с минимальными потерями. В перевернутом виде руна советует постоянно анализировать и контролировать развитие событий, действовать обдуманно и своевременно замечать недочеты, не доводя до кризиса."
